standard_name,units,long_name,out_name
precipitation_flux,kg m-2 s-1,Precipitation,pr
air_temperature,K,Near-Surface Air Temperature,tas
surface_upward_latent_heat_flux,W m-2,Surface Upward Latent Heat Flux,hfls
surface_upward_sensible_heat_flux,W m-2,Surface Upward Sensible Heat Flux,hfss
surface_downwelling_longwave_flux_in_air,W m-2,Surface Downwelling Longwave Radiation,rlds
surface_upwelling_longwave_flux_in_air,W m-2,Surface Upwelling Longwave Radiation,rlus
surface_downwelling_shortwave_flux_in_air,W m-2,Surface Downwelling Shortwave Radiation,rsds
surface_upwelling_shortwave_flux_in_air,W m-2,Surface Upwelling Shortwave Radiation,rsus
eastward_wind,m s-1,Eastward Near-Surface Wind,uas
northward_wind,m s-1,Northward Near-Surface Wind,vas
specific_humidity,1,Near-Surface Specific Humidity,huss
mass_content_of_water_in_soil_layer,kg m-2,Moisture in Upper Portion of Soil Column,mrsos
surface_temperature,K,Surface Temperature Where Land or Sea Ice,tslsi
sea_surface_temperature,degC,Sea Surface Temperature,tos
convective_precipitation_flux,kg m-2 s-1,Convective Precipitation,prc
snowfall_flux,kg m-2 s-1,Snowfall Flux,prsn
runoff_flux,kg m-2 s-1,Total Runoff,mrro
surface_downwelling_longwave_flux_in_air_assuming_clear_sky,W m-2,Surface Downwelling Clear-Sky Longwave Radiation,rldscs
surface_downwelling_shortwave_flux_in_air_assuming_clear_sky,W m-2,Surface Downwelling Clear-Sky Shortwave Radiation,rsdscs
surface_upwelling_shortwave_flux_in_air_assuming_clear_sky,W m-2,Surface Upwelling Clear-Sky Shortwave Radiation,rsuscs
surface_air_pressure,Pa,Surface Air Pressure,ps
cloud_area_fraction,%,Total Cloud Cover Percentage,clt
surface_diffuse_downwelling_shortwave_flux_in_air,W m-2,Surface Diffuse Downwelling Shortwave Radiation,rsdsdiff
air_temperature,K,Air Temperature,ta
eastward_wind,m s-1,Eastward Wind,ua
northward_wind,m s-1,Northward Wind,va
specific_humidity,1,Specific Humidity,hus
volume_scattering_function_of_radiative_flux_in_air_due_to_ambient_aerosol_particles,m-1 sr-1,Aerosol Backscatter Coefficient,bs550aer
volume_extinction_coefficient_in_air_due_to_ambient_aerosol_particles,m-1,Aerosol Extinction Coefficient,ec550aer
air_pressure,Pa,Pressure at Model Full-Levels,pfull
geopotential_height,m,Geopotential Height at 1000hPa,zg1000
wind_speed,m s-1,Near-Surface Wind Speed,sfcWind
air_pressure_at_mean_sea_level,Pa,Sea Level Pressure,psl
atmosphere_relative_vorticity,s-1,Relative Vorticity at 850hPa,rv850
precipitation_flux,kg m-2 s-1,Maximum Hourly Precipitation Rate,prhmax
lagrangian_tendency_of_air_pressure,Pa s-1,Omega (=dp/dt),wap
eastward_wind,m s-1,Eastward Wind at 100m,ua100m
northward_wind,m s-1,Northward Wind at 100m,va100m
wind_speed_of_gust,m s-1,Maximum Wind Speed of Gust at 100m,wsgmax100m
wind_speed_of_gust,m s-1,Maximum Wind Speed of Gust at 10m,wsgmax10m
relative_humidity,%,Near-Surface Relative Humidity,hurs
atmosphere_boundary_layer_thickness,m,Boundary Layer Depth,bldep
geopotential_height,m,Geopotential Height at 500hPa,zg500
geopotential_height,m,Geopotential Height,zg
atmosphere_relative_vorticity,s-1,Relative Vorticity,vortmean
wet_bulb_potential_temperature,K,Wet Bulb Potential Temperature,wbptemp
